vardas		pavarde		nd1	nd2	nd3	nd4	nd5	nd6	nd7	nd8	nd9	nd10	nd11	nd12	nd13	nd14	nd15	nd16	nd17	nd18	nd19	nd20	egzaminas	galutinis balas
vardas25		pavarde25		7	2	3	3	1	9	9	7	6	5	9	1	9	8	10	5	2	7	3	4	7		6.4
vardas26		pavarde26		10	9	8	3	4	3	7	1	6	4	6	2	4	2	9	4	5	10	5	3	2		3.3
vardas27		pavarde27		6	9	10	2	2	5	1	1	8	1	10	8	3	4	9	3	3	4	8	2	8		6.78
vardas28		pavarde28		9	9	3	1	10	10	10	8	5	1	8	7	9	1	6	5	9	8	2	6	9		7.94
vardas29		pavarde29		8	3	2	2	10	2	5	10	8	4	10	1	8	10	8	9	1	5	4	4	8		7.08
vardas30		pavarde30		4	7	2	3	10	5	6	5	1	3	8	9	6	3	3	7	4	10	9	8	8		7.06
vardas31		pavarde31		2	8	7	3	8	10	1	3	10	1	6	5	3	8	7	2	9	1	2	1	6		5.54
vardas32		pavarde32		7	8	7	6	2	4	4	2	4	5	4	7	9	4	4	9	9	2	8	9	5		5.28
vardas33		pavarde33		9	5	7	4	10	8	4	5	10	5	9	2	10	4	9	5	4	1	3	9	3		4.26
vardas34		pavarde34		1	10	3	5	2	3	10	5	3	3	10	5	3	3	6	6	5	8	3	10	6		5.68
vardas35		pavarde35		8	10	5	10	5	10	4	5	5	5	5	2	1	4	6	4	4	5	1	2	10		8.02
vardas36		pavarde36		10	10	1	8	8	8	9	10	5	4	1	9	9	2	7	10	6	1	9	6	2		3.86
vardas37		pavarde37		8	6	1	10	5	5	3	4	8	5	8	4	1	1	1	2	6	1	7	9	1		2.5
vardas38		pavarde38		5	8	9	10	3	2	4	6	10	1	9	3	4	5	7	10	4	4	7	6	8		7.14
vardas39		pavarde39		3	9	1	7	5	8	10	10	4	4	3	7	2	10	2	8	8	2	1	3	3		3.94
vardas40		pavarde40		9	3	4	3	8	2	2	1	10	8	8	6	7	2	1	9	7	2	8	6	3		3.92
vardas41		pavarde41		10	6	10	5	5	6	1	7	6	5	3	6	6	8	5	1	3	5	7	8	9		7.66
vardas42		pavarde42		8	3	9	9	9	6	3	6	3	4	8	6	6	9	2	7	10	1	6	10	5		5.5
vardas43		pavarde43		9	9	7	3	1	2	2	2	10	6	4	2	7	4	5	6	2	10	7	9	2		3.34
vardas44		pavarde44		7	10	6	8	5	9	7	9	3	8	9	10	4	8	7	2	3	5	7	6	4		5.06
vardas45		pavarde45		7	8	7	8	10	8	6	3	2	2	3	3	2	9	3	4	8	3	5	1	8		6.84
vardas46		pavarde46		3	5	4	10	5	7	2	9	1	3	10	2	5	2	7	2	1	5	2	9	4		4.28
vardas47		pavarde47		7	8	5	8	5	10	9	4	4	6	3	9	1	2	7	7	1	9	1	9	2		3.5
vardas48		pavarde48		1	3	8	1	10	2	6	6	2	10	7	5	6	6	1	10	4	2	3	7	8		6.8
vardas49		pavarde49		5	8	8	3	7	8	3	7	8	10	4	2	7	8	8	3	7	6	4	5	4		4.82
vardas50		pavarde50		8	7	5	3	2	2	1	5	8	9	4	9	7	1	6	1	3	5	4	10	7		6.2
vardas51		pavarde51		7	2	7	8	5	3	4	5	5	8	8	2	8	2	3	9	1	9	3	10	9		7.58
vardas52		pavarde52		6	3	4	1	3	7	9	7	5	5	6	6	9	3	1	3	10	3	4	2	2		3.14
vardas53		pavarde53		9	5	4	4	2	5	7	7	10	6	3	1	9	2	10	3	1	2	7	1	10		7.96
vardas54		pavarde54		10	5	8	3	3	6	5	8	8	4	4	7	4	1	5	7	10	10	2	8	8		7.16
vardas55		pavarde55		9	9	1	5	1	6	4	8	5	3	2	3	2	5	9	10	9	2	7	6	6		5.72
vardas56		pavarde56		8	5	6	2	9	7	3	7	1	9	1	4	3	5	1	4	8	1	10	10	1		2.68
vardas57		pavarde57		4	3	10	10	7	2	7	7	1	4	1	5	6	6	2	2	7	8	1	2	6		5.5
vardas58		pavarde58		5	2	4	7	10	7	9	8	3	1	2	6	3	2	5	3	4	4	5	9	8		6.78
vardas59		pavarde59		10	6	1	9	8	8	6	3	2	5	1	9	7	3	8	7	6	8	10	3	1		3
vardas60		pavarde60		7	10	9	1	1	4	10	3	1	10	10	7	4	6	6	5	1	6	8	10	4		4.78
vardas61		pavarde61		7	5	3	1	3	2	7	2	2	3	9	10	9	3	7	1	2	9	4	7	1		2.52
vardas62		pavarde62		5	4	8	2	8	10	10	3	1	5	3	5	8	2	5	2	6	9	9	7	9		7.64
vardas63		pavarde63		5	1	8	6	2	7	10	4	3	6	7	3	8	3	3	2	8	1	3	6	3		3.72
vardas64		pavarde64		10	6	9	2	2	6	4	1	7	2	6	7	5	2	10	2	8	7	7	1	4		4.48
vardas65		pavarde65		2	3	6	1	7	2	7	7	8	8	9	1	7	3	8	7	5	5	7	7	6		5.8
vardas66		pavarde66		3	2	5	10	3	2	9	7	6	10	8	2	7	6	6	9	7	10	3	2	8		7.14
vardas67		pavarde67		1	8	9	6	10	8	8	9	5	10	10	1	9	5	4	4	9	3	10	7	1		3.32
vardas68		pavarde68		3	8	8	6	2	8	8	7	3	9	1	3	7	4	4	6	5	4	8	4	1		2.76
vardas69		pavarde69		7	8	6	7	10	3	10	7	7	2	10	4	4	7	7	4	1	2	8	9	7		6.66
vardas70		pavarde70		5	9	7	1	10	4	4	4	7	8	8	2	1	7	6	4	10	5	6	10	2		3.56
vardas71		pavarde71		2	3	3	10	4	10	8	1	2	1	7	8	8	9	2	2	10	3	9	9	6		5.82
vardas72		pavarde72		8	5	2	1	7	5	6	1	10	6	8	4	2	7	1	10	8	9	1	10	10		8.22
vardas73		pavarde73		5	1	1	3	3	6	8	4	10	10	3	3	5	5	5	8	6	9	3	4	2		3.24
vardas74		pavarde74		8	4	8	10	4	8	9	1	5	10	6	2	1	8	6	5	9	2	2	8	6		5.92
vardas75		pavarde75		8	2	8	5	8	10	10	5	10	1	9	5	3	1	10	9	10	8	9	5	5		5.72
vardas76		pavarde76		8	5	4	4	4	5	2	6	10	10	6	9	10	6	7	4	2	8	7	3	8		7.2
vardas77		pavarde77		1	5	8	10	9	2	2	1	5	9	2	7	7	7	1	8	7	7	1	6	2		3.3
vardas78		pavarde78		10	1	9	3	1	4	10	5	3	6	1	4	2	9	10	7	6	9	10	2	10		8.24
vardas79		pavarde79		3	7	6	1	2	1	6	7	8	3	4	5	4	7	10	4	3	8	10	1	3		3.8
vardas80		pavarde80		9	10	3	8	6	7	4	4	8	8	1	4	6	10	3	2	4	2	4	7	7		6.4
vardas81		pavarde81		9	10	3	10	10	1	2	1	9	7	10	2	9	7	10	4	8	8	1	4	8		7.3
vardas82		pavarde82		5	10	5	6	10	6	4	8	6	5	4	9	8	7	8	1	3	5	2	6	5		5.36
vardas83		pavarde83		6	9	2	4	4	1	9	2	1	8	3	7	9	6	4	7	4	1	6	9	4		4.44
vardas84		pavarde84		7	4	10	8	10	8	8	2	6	7	7	1	5	3	6	8	1	2	10	3	7		6.52
vardas85		pavarde85		1	1	9	10	5	5	1	9	2	5	3	7	6	3	2	9	10	5	4	2	9		7.38
vardas86		pavarde86		8	10	10	9	4	10	4	3	10	9	3	4	3	10	3	1	8	9	6	10	8		7.48
vardas87		pavarde87		5	4	6	1	4	9	4	10	2	3	7	10	3	10	7	8	7	3	2	9	2		3.48
vardas88		pavarde88		3	7	1	4	7	5	2	7	4	7	2	3	5	5	10	3	6	5	3	1	4		4.2
vardas89		pavarde89		8	4	4	9	5	10	1	1	1	4	3	7	6	2	7	3	9	4	6	6	7		6.2
vardas90		pavarde90		9	1	9	3	10	7	5	1	6	4	3	9	3	8	3	4	5	2	4	1	4		4.34
vardas91		pavarde91		4	10	5	10	5	7	1	8	10	4	5	1	9	4	6	7	8	5	5	6	2		3.6
vardas92		pavarde92		2	3	7	10	9	9	2	8	9	5	7	10	5	6	5	9	2	10	9	5	6		6.24
vardas93		pavarde93		1	10	3	6	5	1	4	7	4	4	10	7	9	6	3	10	9	9	9	6	3		4.26
vardas94		pavarde94		6	2	5	10	8	2	10	3	5	2	10	2	1	8	8	10	6	5	7	2	1		2.84
vardas95		pavarde95		2	3	2	9	8	8	3	9	8	9	10	4	3	9	8	4	7	1	3	9	4		4.78
vardas96		pavarde96		4	5	2	5	2	1	1	7	10	2	4	10	3	7	3	9	2	9	2	7	3		3.7
vardas97		pavarde97		4	8	7	5	10	9	2	1	6	5	7	10	6	6	3	3	4	7	2	9	3		4.08
vardas98		pavarde98		9	1	9	5	2	6	8	5	2	6	1	1	9	5	5	4	10	7	8	7	2		3.4
vardas99		pavarde99		2	4	3	6	6	10	1	8	8	2	9	7	9	5	5	1	9	8	6	7	4		4.72
vardas100		pavarde100		9	8	4	2	8	4	4	4	3	1	4	2	10	4	4	4	9	4	3	7	2		3.16
vardas101		pavarde101		10	8	10	6	6	6	10	5	4	5	8	5	10	3	5	3	5	6	10	3	10		8.56
vardas102		pavarde102		1	7	6	5	5	3	3	3	1	8	9	5	2	1	9	7	7	10	8	5	7		6.3
vardas103		pavarde103		3	4	5	9	9	3	1	8	9	6	9	6	9	3	9	2	5	2	1	4	1		2.74
vardas104		pavarde104		4	10	2	7	1	6	8	7	8	6	4	1	8	2	2	9	9	5	1	10	3		4
vardas105		pavarde105		6	7	10	1	8	9	10	3	6	9	7	10	1	9	4	9	3	7	10	3	2		3.84
vardas106		pavarde106		5	3	6	3	6	5	3	10	5	7	6	2	2	7	2	8	2	10	1	2	4		4.3
vardas107		pavarde107		7	1	10	6	8	6	9	7	9	1	3	4	4	10	2	10	9	1	9	7	1		3.06
vardas108		pavarde108		6	7	7	6	3	10	3	8	9	3	4	1	4	3	6	4	3	5	5	6	10		8.06
vardas109		pavarde109		1	5	7	2	6	1	10	6	4	8	2	10	4	4	9	7	3	3	7	4	1		2.66
vardas110		pavarde110		7	3	10	10	3	10	10	3	10	5	4	5	8	2	10	7	3	1	5	5	7		6.62
vardas111		pavarde111		10	9	10	6	3	8	9	8	4	3	6	7	4	1	1	10	8	5	1	2	5		5.3
vardas112		pavarde112		2	10	4	1	9	1	5	2	10	1	9	6	2	8	4	2	7	8	4	2	10		7.94
vardas113		pavarde113		5	1	6	1	1	4	2	8	8	8	3	1	6	10	3	1	9	8	3	8	8		6.72
vardas114		pavarde114		8	6	6	7	8	9	1	5	5	7	1	9	7	8	9	5	3	4	5	6	4		4.78
vardas115		pavarde115		4	10	5	8	6	8	9	8	5	1	1	8	7	8	9	3	2	1	9	3	4		4.7
vardas116		pavarde116		4	9	5	3	9	1	4	10	4	7	8	3	5	6	5	2	6	3	3	2	3		3.78
vardas117		pavarde117		1	8	10	2	9	5	8	9	4	8	7	10	9	10	10	10	5	9	5	2	7		7.02
vardas118		pavarde118		5	5	9	3	4	5	4	8	6	1	2	4	10	1	9	7	3	3	4	3	5		4.92
vardas119		pavarde119		1	6	1	10	8	3	5	2	8	4	10	10	10	6	9	5	1	1	4	7	2		3.42
vardas120		pavarde120		9	4	2	9	4	8	9	3	2	4	6	10	3	6	9	6	4	10	6	9	3		4.26
vardas121		pavarde121		7	1	8	1	5	9	8	4	8	3	5	3	8	1	4	8	10	9	2	4	3		3.96
vardas122		pavarde122		6	6	2	8	10	7	8	9	10	1	4	9	7	4	1	2	8	8	3	9	7		6.64
vardas123		pavarde123		2	2	8	1	2	2	8	6	8	10	8	2	5	1	9	9	2	5	5	3	3		3.76
vardas124		pavarde124		9	9	1	4	10	3	5	10	3	1	5	9	6	4	10	9	3	9	10	10	2		3.8
vardas125		pavarde125		2	8	2	6	1	2	2	2	2	9	10	2	10	9	1	3	5	7	8	1	7		6.04
vardas126		pavarde126		5	1	5	2	9	2	9	2	1	5	7	8	6	8	2	5	6	8	10	7	8		6.96
vardas127		pavarde127		8	7	5	1	2	10	6	8	1	10	8	9	7	5	1	2	2	2	4	2	7		6.2
vardas128		pavarde128		3	8	10	2	7	10	6	3	8	5	7	6	4	6	6	3	6	6	3	5	9		7.68
vardas129		pavarde129		2	8	7	1	4	2	9	2	9	5	3	10	8	5	6	3	5	10	1	3	6		5.66
vardas130		pavarde130		4	2	10	3	2	4	5	8	5	1	6	5	4	5	6	8	2	2	7	3	6		5.44
vardas131		pavarde131		1	3	8	9	6	10	2	7	2	4	4	10	3	4	5	4	7	5	10	9	8		7.06
vardas132		pavarde132		1	6	4	7	2	4	6	5	2	2	10	1	4	10	9	8	7	7	4	3	3		3.84
vardas133		pavarde133		1	6	10	7	1	8	8	9	8	4	6	8	2	4	7	10	8	7	5	6	8		7.3
vardas134		pavarde134		7	5	6	9	3	5	7	2	3	10	8	6	10	10	9	3	10	1	5	6	9		7.9
vardas135		pavarde135		2	1	5	9	9	4	10	1	6	10	3	6	1	7	2	2	6	5	3	8	7		6.2
vardas136		pavarde136		2	6	9	10	3	3	9	1	8	9	9	1	2	1	1	5	2	10	4	8	4		4.46
vardas137		pavarde137		4	4	8	7	6	9	5	6	1	1	9	10	8	9	1	4	5	3	8	6	10		8.28
vardas138		pavarde138		4	3	10	2	7	6	7	4	7	2	1	2	3	2	4	5	2	2	10	8	2		3.02
vardas139		pavarde139		7	5	9	2	7	7	6	6	3	6	8	5	1	6	2	1	4	5	7	5	6		5.64
vardas140		pavarde140		3	2	9	8	10	1	7	6	4	1	3	3	10	4	5	5	6	10	7	6	3		4
vardas141		pavarde141		10	5	10	2	2	4	8	4	2	5	5	5	2	9	5	4	7	7	9	10	1		2.9
vardas142		pavarde142		2	7	3	6	7	10	1	8	6	6	4	8	2	3	6	8	10	10	8	6	6		6.02
vardas143		pavarde143		2	8	3	3	8	9	1	7	6	5	9	9	10	6	10	9	7	2	10	9	3		4.46
vardas144		pavarde144		9	8	8	3	7	4	9	10	3	4	4	2	10	4	7	7	2	7	8	3	5		5.38
vardas145		pavarde145		9	1	2	5	7	9	10	10	3	10	3	6	10	8	3	6	10	8	10	5	8		7.5
vardas146		pavarde146		2	2	7	10	9	9	2	3	4	9	7	4	9	4	10	5	1	3	9	5	5		5.28
vardas147		pavarde147		2	9	6	3	7	3	4	6	8	2	2	9	7	10	6	10	10	2	5	1	1		2.84
vardas148		pavarde148		5	4	9	4	4	8	10	7	1	2	1	7	1	5	6	2	5	3	9	5	4		4.36
vardas149		pavarde149		4	2	10	8	7	2	4	4	6	3	3	1	5	4	9	1	8	5	9	5	9		7.4
vardas150		pavarde150		5	3	8	3	6	6	1	10	7	3	1	8	5	3	10	2	9	4	3	8	9		7.5
vardas151		pavarde151		6	8	1	4	9	7	4	3	1	6	9	4	3	3	9	5	6	9	9	4	8		7
vardas152		pavarde152		7	5	8	8	7	8	9	5	3	3	2	2	9	1	6	9	4	1	4	9	1		2.8
vardas153		pavarde153		6	4	9	9	5	8	7	1	10	7	9	7	6	2	7	6	8	6	2	9	1		3.16
vardas154		pavarde154		2	7	8	10	10	7	1	9	5	7	6	6	10	9	7	2	4	9	10	4	5		5.66
vardas155		pavarde155		10	9	6	2	2	10	8	4	5	8	2	8	9	9	1	6	8	4	6	6	8		7.26
vardas156		pavarde156		4	7	7	3	2	10	10	7	6	3	8	7	4	8	9	8	9	2	2	1	3		4.14
vardas157		pavarde157		9	5	8	9	1	7	5	6	10	3	2	9	6	2	8	8	5	3	10	10	10		8.52
vardas158		pavarde158		8	9	4	3	6	5	1	10	4	3	10	8	8	6	10	10	1	10	4	2	8		7.24
vardas159		pavarde159		4	9	7	9	1	4	8	2	3	7	3	7	9	1	6	8	6	3	6	2	9		7.5
vardas160		pavarde160		5	5	1	7	8	10	1	2	3	5	2	3	2	2	2	10	1	4	4	6	9		7.06
vardas161		pavarde161		4	9	6	4	4	1	4	7	6	7	6	8	7	1	7	6	7	9	3	8	10		8.28
vardas162		pavarde162		5	2	5	5	9	3	6	4	4	7	2	5	1	3	3	8	5	5	8	10	9		7.4
vardas163		pavarde163		2	9	5	3	1	5	3	3	8	6	3	4	8	3	8	5	10	6	2	10	5		5.08
vardas164		pavarde164		3	4	2	2	5	5	8	3	1	6	2	3	6	7	7	4	3	9	10	6	9		7.32
vardas165		pavarde165		5	7	5	2	5	10	8	5	1	10	8	2	6	4	5	10	9	9	3	5	10		8.38
vardas166		pavarde166		3	9	3	10	7	6	3	3	2	1	10	5	8	7	10	3	1	1	10	5	2		3.34
vardas167		pavarde167		6	1	6	9	4	10	8	6	5	7	2	1	9	4	10	3	4	1	3	1	5		5
vardas168		pavarde168		4	4	8	7	1	7	9	8	9	4	6	1	5	9	5	9	3	9	4	4	5		5.32
vardas169		pavarde169		2	7	2	1	8	6	10	4	10	9	8	6	1	10	3	4	1	2	4	2	4		4.4
vardas170		pavarde170		4	7	1	4	10	1	9	1	6	5	7	6	2	9	3	5	1	5	9	3	5		4.96
vardas171		pavarde171		6	8	5	8	5	6	7	3	6	7	10	8	1	3	10	3	6	2	1	4	10		8.18
vardas172		pavarde172		10	3	3	4	7	2	4	1	7	2	3	6	3	10	8	9	8	6	2	7	2		3.3
vardas173		pavarde173		7	7	8	8	2	9	9	4	2	9	7	3	2	5	5	6	6	7	2	9	6		5.94
vardas174		pavarde174		5	7	7	7	1	5	1	7	8	1	9	8	4	10	6	1	8	3	7	8	8		7.06
vardas175		pavarde175		10	8	1	3	10	5	1	2	2	3	3	10	10	5	9	4	8	5	7	5	8		7.02
vardas176		pavarde176		4	9	1	3	3	3	8	8	9	9	1	7	9	1	2	4	8	8	6	3	2		3.32
vardas177		pavarde177		10	8	1	1	6	7	5	9	4	4	5	3	8	5	3	8	10	8	9	4	1		2.96
vardas178		pavarde178		2	4	10	2	6	4	10	10	2	8	8	7	5	7	1	7	9	4	6	5	10		8.34
vardas179		pavarde179		6	5	3	9	6	5	6	7	3	5	4	10	10	7	3	7	6	2	8	7	7		6.58
vardas180		pavarde180		7	2	3	8	5	8	10	6	1	4	2	2	8	5	5	5	8	9	10	2	1		2.8
vardas181		pavarde181		9	3	1	3	2	4	9	1	2	10	5	2	6	1	9	5	9	5	4	5	2		3.1
vardas182		pavarde182		2	6	7	3	5	10	1	2	10	3	5	3	8	4	6	8	5	9	2	5	3		3.88
vardas183		pavarde183		4	2	6	1	5	7	3	2	2	4	1	5	6	3	10	8	4	1	1	3	8		6.36
vardas184		pavarde184		2	7	4	10	1	7	6	1	10	3	2	5	3	4	3	3	8	8	10	3	9		7.4
vardas185		pavarde185		10	9	8	3	6	9	8	8	8	4	10	10	1	10	9	6	7	9	7	3	6		6.5
vardas186		pavarde186		2	6	6	1	9	8	2	5	10	4	10	1	6	3	1	8	1	8	6	8	5		5.1
vardas187		pavarde187		1	2	10	5	9	10	3	8	6	3	3	8	3	6	2	4	6	10	2	4	10		8.1
vardas188		pavarde188		6	2	9	8	1	8	9	2	9	7	4	9	4	7	3	9	3	8	8	6	7		6.64
vardas189		pavarde189		10	1	8	5	2	5	8	6	5	3	3	7	1	2	6	7	7	8	5	7	4		4.52
vardas190		pavarde190		1	6	4	1	10	4	9	6	3	10	3	2	7	3	2	6	8	6	1	9	8		6.82
vardas191		pavarde191		10	2	3	7	10	7	9	3	3	3	1	8	3	9	5	8	1	7	5	2	4		4.52
vardas192		pavarde192		8	5	9	10	5	9	3	8	7	5	8	6	5	8	4	9	1	5	4	2	7		6.62
vardas193		pavarde193		3	5	4	8	7	8	5	4	5	3	5	9	8	5	10	4	7	6	10	5	4		4.82
vardas194		pavarde194		2	9	9	10	3	6	7	8	3	2	6	1	5	7	6	6	9	3	4	4	2		3.4
vardas195		pavarde195		5	1	1	10	9	9	1	1	1	6	10	1	2	7	6	5	8	2	1	4	10		7.8
vardas196		pavarde196		3	2	10	9	9	10	4	3	1	9	2	1	4	3	7	8	6	2	7	3	2		3.26
vardas197		pavarde197		1	1	2	4	5	9	8	10	3	8	6	4	5	10	6	2	7	1	9	3	2		3.28
vardas198		pavarde198		2	5	3	7	4	9	7	3	8	1	4	10	8	3	1	5	2	6	2	2	7		6.04
vardas199		pavarde199		2	10	4	8	10	8	6	3	5	10	7	2	1	4	5	2	10	6	7	8	8		7.16
vardas200		pavarde200		4	3	4	8	1	8	6	9	3	9	7	7	10	5	3	5	8	7	4	7	7		6.56
vardas201		pavarde201		2	7	8	8	1	5	2	2	1	6	8	10	2	6	1	2	7	3	8	10	7		6.18
vardas202		pavarde202		9	5	5	6	1	9	2	3	4	9	3	9	3	10	8	5	1	8	8	7	3		4.1
vardas203		pavarde203		7	4	2	5	8	2	5	4	5	7	6	4	8	4	6	1	5	7	8	9	8		6.94
vardas204		pavarde204		2	1	8	5	3	7	7	8	2	7	1	10	5	6	1	2	2	4	3	7	9		7.22
vardas205		pavarde205		6	6	10	6	9	8	9	10	6	2	8	8	10	6	1	3	3	2	9	1	9		7.86
vardas206		pavarde206		9	7	10	5	10	2	3	5	10	2	8	3	2	10	6	1	10	7	6	4	6		6
vardas207		pavarde207		3	9	8	5	1	4	3	6	9	1	1	6	6	5	1	8	1	10	2	6	2		3.1
vardas208		pavarde208		7	2	3	4	6	3	10	4	7	3	10	6	10	8	7	1	5	3	7	1	5		5.14
vardas209		pavarde209		8	4	3	1	5	10	3	2	6	5	5	7	1	7	7	7	10	5	2	8	6		5.72
vardas210		pavarde210		10	3	8	6	10	8	7	1	9	7	10	8	2	1	7	8	1	9	8	3	1		3.12
vardas211		pavarde211		3	6	5	10	9	4	2	4	6	10	7	4	8	5	8	1	3	9	2	4	2		3.4
vardas212		pavarde212		2	9	5	4	2	6	8	9	3	9	7	5	6	7	5	2	8	3	6	8	1		2.88
vardas213		pavarde213		1	2	6	4	10	9	2	3	4	6	4	8	7	4	10	4	7	9	9	4	7		6.46
vardas214		pavarde214		8	9	3	6	1	3	8	4	7	9	9	9	6	9	8	3	4	10	3	1	1		3
vardas215		pavarde215		7	7	3	8	4	1	9	4	2	4	7	6	6	4	5	7	9	1	4	7	6		5.7
vardas216		pavarde216		3	5	8	3	9	4	3	10	10	3	2	9	1	5	9	6	7	4	10	6	3		4.14
vardas217		pavarde217		9	10	7	2	3	8	7	2	9	3	10	1	8	1	1	3	2	4	10	6	8		6.92
vardas218		pavarde218		9	8	5	5	4	10	10	5	2	10	10	1	9	4	3	6	3	3	10	9	3		4.32
vardas219		pavarde219		9	9	1	7	6	10	3	3	9	6	3	1	8	7	6	5	5	1	1	5	10		8.1
vardas220		pavarde220		5	9	1	4	3	4	2	2	3	2	3	3	4	7	10	9	9	5	4	2	10		7.82
vardas221		pavarde221		3	4	10	7	7	5	3	2	7	6	1	5	10	3	2	9	4	2	3	2	1		2.5
vardas222		pavarde222		3	4	10	3	6	6	2	7	3	2	5	4	4	2	5	4	6	4	9	8	1		2.54
vardas223		pavarde223		5	1	2	9	10	7	8	5	1	6	6	8	5	5	9	2	9	4	5	2	3		3.98
vardas224		pavarde224		10	3	7	9	2	3	3	2	2	5	5	5	9	1	1	8	8	9	1	5	10		7.96
vardas225		pavarde225		5	10	10	10	7	8	3	10	4	8	9	7	4	7	6	10	4	1	7	9	10		8.78
vardas226		pavarde226		8	7	1	8	3	1	5	4	7	5	8	2	3	9	1	5	5	8	5	1	2		3.12
vardas227		pavarde227		3	10	6	7	2	8	6	1	8	1	2	2	10	10	3	3	7	6	7	10	10		8.24
vardas228		pavarde228		10	3	2	2	8	4	8	8	8	10	2	2	8	9	5	7	2	1	5	5	8		6.98
vardas229		pavarde229		4	6	6	9	9	2	6	1	8	7	4	8	6	3	4	8	9	1	5	10	1		2.92
vardas230		pavarde230		1	7	4	4	7	1	2	9	9	4	9	5	6	6	8	1	10	6	5	5	2		3.38
vardas231		pavarde231		2	7	4	6	8	5	2	2	6	4	3	8	7	8	6	8	6	7	7	8	3		4.08
vardas232		pavarde232		10	5	7	3	6	2	3	2	2	3	2	5	6	6	5	4	10	5	10	9	8		6.9
vardas233		pavarde233		9	2	1	3	7	2	1	8	1	5	7	1	10	6	1	7	10	9	1	9	8		6.8
vardas234		pavarde234		3	6	6	10	6	1	4	6	10	9	1	2	7	3	7	7	6	2	6	8	9		7.6
vardas235		pavarde235		8	5	9	10	10	5	3	7	3	5	6	2	3	6	5	10	1	6	3	5	2		3.44
vardas236		pavarde236		6	1	1	8	10	5	1	1	6	3	8	1	1	3	10	7	8	9	7	2	10		7.96
vardas237		pavarde237		4	10	3	2	8	3	1	2	3	3	3	4	1	4	3	2	7	5	4	1	9		6.86
vardas238		pavarde238		5	9	3	4	1	1	6	10	3	4	4	4	2	9	1	3	1	5	5	2	9		7.04
vardas239		pavarde239		4	5	4	7	7	10	2	9	8	3	9	4	3	2	4	6	6	9	1	5	4		4.56
vardas240		pavarde240		4	9	5	5	3	2	2	8	3	6	10	3	4	5	1	1	9	1	10	1	2		3.04
vardas241		pavarde241		4	10	6	3	2	9	6	6	4	2	6	6	2	4	3	8	4	7	8	3	8		6.86
vardas242		pavarde242		5	9	1	10	9	7	9	7	9	5	9	3	4	1	9	5	10	8	4	6	1		3.2
