vardas		pavarde		nd1	nd2	nd3	nd4	nd5	nd6	nd7	nd8	nd9	nd10	nd11	nd12	nd13	nd14	nd15	nd16	nd17	nd18	nd19	nd20	egzaminas	galutinis balas
vardas44		pavarde44		10	8	1	1	3	7	5	6	10	8	2	5	4	6	8	1	8	2	5	10	10		8.2
vardas45		pavarde45		2	5	7	3	5	4	7	4	2	10	8	7	5	4	2	8	10	4	1	3	9		7.42
vardas46		pavarde46		1	4	6	6	7	8	8	8	2	4	10	10	5	6	8	7	10	8	8	4	5		5.6
vardas47		pavarde47		6	2	2	2	6	7	8	9	3	10	9	5	6	6	3	2	1	3	10	1	5		5.02
vardas48		pavarde48		1	8	10	2	5	9	6	7	10	8	3	1	2	6	4	3	3	5	8	8	2		3.38
vardas49		pavarde49		5	8	9	1	2	6	5	7	9	10	10	9	10	10	8	10	8	7	9	4	6		6.54
vardas50		pavarde50		6	4	10	8	2	9	4	6	8	6	5	5	7	4	3	8	1	6	4	9	1		2.9
vardas51		pavarde51		2	3	4	4	5	9	2	9	9	4	10	1	8	7	9	6	4	4	3	3	3		3.92
vardas52		pavarde52		8	10	10	2	9	10	7	4	3	4	2	6	4	9	2	2	5	1	8	7	2		3.46
vardas53		pavarde53		2	4	8	1	8	3	1	3	2	7	4	3	6	8	2	9	4	8	8	4	5		4.9
vardas54		pavarde54		3	10	1	6	7	5	2	7	6	5	2	4	1	6	4	4	4	6	5	5	1		2.46
vardas55		pavarde55		8	1	1	2	6	9	5	3	5	1	5	1	6	4	3	6	9	4	6	4	7		5.98
vardas56		pavarde56		6	4	8	1	9	3	10	8	6	4	7	3	3	1	2	8	4	7	7	10	8		7.02
vardas57		pavarde57		8	9	9	7	9	1	9	9	10	7	2	4	6	8	4	10	3	9	2	2	4		4.96
vardas58		pavarde58		3	9	3	4	7	9	5	8	2	7	6	10	7	9	5	4	9	4	5	3	8		7.18
vardas59		pavarde59		8	6	8	4	4	9	9	4	10	6	1	3	7	2	5	3	3	9	7	4	1		2.84
vardas60		pavarde60		3	7	10	6	2	1	9	3	9	8	9	1	8	10	8	5	2	3	9	3	3		4.12
vardas61		pavarde61		9	3	6	3	7	7	5	2	2	1	5	4	1	5	3	9	3	8	6	7	4		4.32
vardas62		pavarde62		8	4	1	2	8	1	8	9	3	3	1	1	6	10	7	7	4	9	7	10	5		5.18
vardas63		pavarde63		9	6	2	2	5	6	5	6	2	4	3	5	6	8	6	9	4	10	6	5	2		3.38
vardas64		pavarde64		7	10	9	7	5	2	7	5	4	2	4	7	3	8	9	8	1	4	8	4	9		7.68
vardas65		pavarde65		3	9	9	5	6	5	5	2	8	8	8	3	1	1	9	5	10	9	4	8	1		2.96
vardas66		pavarde66		10	1	3	3	9	10	4	10	7	5	4	6	5	3	3	7	9	6	10	7	9		7.84
vardas67		pavarde67		5	5	7	4	3	2	2	1	7	9	1	10	2	3	5	4	9	8	3	4	5		4.88
vardas68		pavarde68		10	6	10	7	9	6	9	1	1	6	7	1	7	4	6	4	10	4	6	4	8		7.16
vardas69		pavarde69		2	4	7	10	3	6	1	9	4	8	8	10	2	2	6	3	6	5	6	5	7		6.34
vardas70		pavarde70		10	1	7	6	3	4	2	3	7	10	8	7	10	1	2	8	3	7	8	5	5		5.24
vardas71		pavarde71		2	9	6	5	3	8	1	9	3	2	7	10	3	3	8	3	6	6	5	4	5		5.06
vardas72		pavarde72		4	1	8	3	1	9	5	5	10	6	6	7	3	6	6	9	5	7	1	3	3		3.9
vardas73		pavarde73		5	4	6	2	9	5	7	8	6	7	4	6	4	5	3	2	5	7	8	7	4		4.6
vardas74		pavarde74		4	1	8	1	10	8	2	1	10	10	6	7	6	9	7	8	1	7	3	8	3		4.14
vardas75		pavarde75		1	2	5	3	5	10	1	1	8	2	7	2	6	6	5	6	2	6	1	8	10		7.74
vardas76		pavarde76		8	9	7	1	9	9	7	6	4	9	1	9	1	8	9	1	7	5	8	5	7		6.66
vardas77		pavarde77		3	2	6	1	9	10	2	9	8	1	6	4	8	2	9	1	4	1	6	2	5		4.88
vardas78		pavarde78		3	2	9	6	9	1	3	7	8	5	7	7	8	6	5	5	1	8	10	7	3		4.14
vardas79		pavarde79		10	5	3	6	6	7	1	10	5	1	8	6	3	9	4	1	6	6	6	2	2		3.3
vardas80		pavarde80		4	3	9	7	4	2	4	5	10	6	3	7	4	2	6	8	9	3	9	2	2		3.34
vardas81		pavarde81		1	3	5	10	6	3	5	7	3	7	8	8	10	9	8	9	4	7	9	9	2		3.82
vardas82		pavarde82		9	6	5	8	2	3	8	2	1	7	7	7	1	3	3	6	9	7	9	1	1		2.68
vardas83		pavarde83		10	8	8	4	3	5	7	4	10	7	4	9	1	8	8	7	10	10	3	8	10		8.68
vardas84		pavarde84		6	9	8	2	2	8	5	8	1	1	5	3	1	2	8	9	7	7	2	9	10		8.06
vardas85		pavarde85		9	2	3	4	5	4	6	5	2	8	10	5	3	6	3	7	6	7	5	3	2		3.26
vardas86		pavarde86		7	7	6	5	9	3	9	10	5	5	8	2	3	1	8	10	4	6	5	3	8		7.12
vardas87		pavarde87		5	10	8	9	1	3	7	9	9	8	2	2	3	3	8	6	1	2	7	10	7		6.46
vardas88		pavarde88		3	7	3	6	5	9	6	7	9	5	1	3	9	4	7	7	7	1	3	5	6		5.74
vardas89		pavarde89		9	6	4	6	9	8	10	6	8	3	2	9	2	10	5	5	5	8	6	4	10		8.5
vardas90		pavarde90		4	4	4	7	6	9	3	9	10	9	5	6	4	4	3	4	4	3	10	3	4		4.62
vardas91		pavarde91		3	6	10	3	9	2	7	4	6	3	1	10	9	10	6	7	4	10	9	1	4		4.8
vardas92		pavarde92		10	10	7	10	6	10	1	4	9	7	2	7	6	5	3	10	3	9	7	9	9		8.1
vardas93		pavarde93		5	7	7	5	3	2	2	2	1	9	4	5	3	8	4	6	6	6	9	2	9		7.32
vardas94		pavarde94		9	8	4	10	4	1	1	9	8	2	9	7	6	6	9	5	3	10	2	7	8		7.2
vardas95		pavarde95		3	7	8	7	6	7	4	1	4	2	5	8	8	3	10	8	5	10	5	5	4		4.72
vardas96		pavarde96		1	4	10	5	7	1	10	1	2	7	1	7	4	9	9	4	7	10	2	5	9		7.52
vardas97		pavarde97		7	6	6	6	2	1	5	5	6	2	3	8	1	10	5	8	4	2	6	5	1		2.56
vardas98		pavarde98		10	1	3	7	8	3	1	7	4	4	1	4	3	5	1	8	2	3	9	2	9		7.12
vardas99		pavarde99		4	9	6	2	10	7	9	10	3	1	10	10	9	1	4	2	6	5	4	3	1		2.9
vardas100		pavarde100		6	3	6	3	3	6	4	4	5	2	1	9	9	2	9	3	10	8	7	4	6		5.68
vardas101		pavarde101		4	9	1	5	4	2	6	2	10	8	6	9	1	2	9	5	8	6	6	6	4		4.58
vardas102		pavarde102		1	3	8	2	5	6	2	6	9	7	3	5	9	1	1	4	5	5	6	2	1		2.4
vardas103		pavarde103		4	2	7	10	9	6	7	6	3	6	5	5	9	2	5	1	2	6	2	8	10		8.1
vardas104		pavarde104		4	7	2	10	4	4	8	6	6	2	10	7	10	4	10	7	2	6	8	10	7		6.74
vardas105		pavarde105		10	4	6	4	2	1	6	10	1	3	1	9	1	4	1	7	3	7	3	10	8		6.66
vardas106		pavarde106		9	1	6	8	6	9	7	1	8	3	8	1	7	2	7	5	8	7	4	2	5		5.18
vardas107		pavarde107		8	6	8	5	1	7	2	10	5	8	5	4	9	2	9	8	10	10	10	3	2		3.8
vardas108		pavarde108		3	7	6	2	6	8	10	7	6	4	5	3	2	1	3	1	5	5	8	3	2		3.1
vardas109		pavarde109		3	2	6	2	1	6	7	1	6	7	6	2	8	2	5	10	7	8	4	9	8		6.84
vardas110		pavarde110		5	4	2	4	9	1	10	3	7	6	8	6	10	1	10	6	8	3	9	8	9		7.8
vardas111		pavarde111		10	9	6	8	5	6	10	6	9	4	5	4	1	7	4	7	3	4	2	1	2		3.42
vardas112		pavarde112		1	1	9	10	9	5	9	10	7	10	2	8	10	2	8	1	5	6	6	1	7		6.6
vardas113		pavarde113		5	10	7	10	1	5	1	6	1	6	3	8	8	8	6	1	10	8	2	2	10		8.16
vardas114		pavarde114		4	9	3	5	7	4	6	6	4	3	3	8	5	2	10	9	5	5	1	10	5		5.18
vardas115		pavarde115		3	10	8	4	8	7	5	5	3	3	1	2	8	1	2	10	4	4	6	4	3		3.76
vardas116		pavarde116		2	6	3	3	3	4	2	9	8	2	10	10	8	9	8	10	3	10	10	5	5		5.5
vardas117		pavarde117		3	10	6	6	3	8	10	2	2	7	7	3	5	7	10	8	6	7	7	7	1		3.08
vardas118		pavarde118		6	1	9	9	2	3	3	6	10	5	4	1	4	1	6	9	9	5	2	6	7		6.22
vardas119		pavarde119		10	6	5	6	8	5	9	1	4	4	8	2	5	10	10	6	9	8	5	4	4		4.9
vardas120		pavarde120		9	1	10	7	9	8	2	3	1	3	1	8	8	3	8	3	2	10	7	9	8		7.04
vardas121		pavarde121		5	5	6	10	6	2	6	3	7	10	5	6	6	1	9	4	7	4	8	10	6		6
vardas122		pavarde122		10	10	6	10	6	9	4	4	6	8	5	6	1	2	7	3	1	4	5	10	2		3.54
vardas123		pavarde123		6	9	8	4	4	8	4	4	9	8	3	2	5	7	10	10	6	8	9	3	4		4.94
vardas124		pavarde124		3	9	4	6	10	4	7	4	6	4	3	6	1	2	10	4	6	5	2	9	8		6.9
vardas125		pavarde125		8	4	3	9	6	4	8	8	4	3	4	3	10	3	7	9	6	3	2	1	6		5.7
vardas126		pavarde126		5	10	9	2	8	6	5	5	1	9	2	1	1	10	10	4	10	7	3	6	10		8.28
vardas127		pavarde127		1	3	2	4	6	6	8	3	9	8	6	9	2	1	10	3	4	7	3	5	9		7.4
vardas128		pavarde128		1	4	6	10	6	8	1	8	10	4	7	10	4	5	6	1	2	10	3	7	7		6.46
vardas129		pavarde129		6	7	6	5	1	7	5	2	3	9	5	2	7	4	6	5	8	8	8	6	4		4.6
vardas130		pavarde130		7	4	5	10	10	8	2	1	2	5	6	6	6	2	2	4	10	6	1	7	3		3.88
vardas131		pavarde131		5	1	5	8	2	10	7	10	4	6	2	3	10	9	2	9	6	8	7	1	3		4.1
vardas132		pavarde132		2	7	2	2	3	3	2	4	8	9	6	4	7	5	10	8	4	3	1	9	2		3.18
vardas133		pavarde133		7	1	2	8	3	6	8	1	8	7	9	10	9	3	4	7	8	3	10	4	9		7.76
vardas134		pavarde134		10	4	1	7	9	2	8	2	10	10	6	5	8	1	1	9	4	7	2	10	4		4.72
vardas135		pavarde135		1	8	5	6	4	1	1	1	9	6	8	7	5	2	6	3	4	4	3	2	2		2.92
vardas136		pavarde136		5	2	3	5	9	10	8	4	1	6	9	10	3	3	6	2	3	9	5	10	8		7.06
vardas137		pavarde137		6	1	7	1	3	6	4	5	8	4	10	2	4	5	5	3	10	4	6	5	3		3.78
vardas138		pavarde138		10	7	10	9	7	10	6	3	2	1	10	10	5	4	5	10	2	2	5	3	5		5.42
vardas139		pavarde139		9	4	8	8	9	8	8	2	3	2	3	1	1	6	4	7	4	1	5	5	9		7.36
vardas140		pavarde140		10	7	9	8	1	8	1	8	8	8	6	5	9	10	10	4	9	7	7	9	7		7.08
vardas141		pavarde141		1	2	4	10	10	2	7	5	6	1	3	6	3	3	4	2	2	9	9	8	3		3.74
vardas142		pavarde142		6	9	3	10	6	8	1	5	9	2	4	6	7	7	3	2	6	8	6	10	10		8.36
vardas143		pavarde143		1	4	8	8	7	10	1	5	8	9	8	4	1	8	6	10	4	2	4	2	9		7.6
vardas144		pavarde144		7	6	9	4	4	2	10	7	7	5	6	1	7	8	5	7	5	10	9	3	4		4.84
vardas145		pavarde145		10	7	1	1	3	6	8	1	4	10	1	10	10	10	1	2	5	3	6	2	5		5.02
vardas146		pavarde146		1	4	1	9	6	9	2	2	4	10	6	5	10	1	4	7	3	5	8	1	3		3.76
vardas147		pavarde147		3	2	5	5	4	2	7	10	8	7	7	8	10	3	4	7	10	7	5	5	9		7.78
vardas148		pavarde148		8	2	10	7	7	1	1	4	10	4	10	6	2	4	1	4	1	2	5	6	7		6.1
vardas149		pavarde149		8	1	10	10	9	1	1	1	1	8	5	2	5	1	10	8	3	2	8	2	10		7.92
vardas150		pavarde150		3	9	8	8	6	3	6	9	8	1	2	8	1	3	8	6	7	8	4	1	3		3.98
vardas151		pavarde151		3	7	10	9	6	1	9	2	2	2	1	8	10	3	3	9	4	5	1	8	3		3.86
vardas152		pavarde152		8	9	1	2	10	9	8	3	3	3	1	3	2	3	10	6	5	9	10	1	3		3.92
vardas153		pavarde153		4	9	2	4	5	4	6	7	5	5	10	10	7	6	5	4	6	9	1	9	10		8.36
vardas154		pavarde154		5	10	2	3	7	8	10	2	1	8	8	9	5	5	8	5	2	3	6	2	3		3.98
vardas155		pavarde155		6	3	8	7	3	4	6	10	8	9	8	10	7	6	2	8	5	7	4	7	7		6.76
vardas156		pavarde156		7	10	9	7	1	1	8	1	8	6	5	1	9	4	6	2	7	7	2	1	6		5.64
vardas157		pavarde157		2	5	1	4	3	2	8	7	2	9	7	6	2	4	10	6	4	5	1	7	6		5.5
vardas158		pavarde158		8	4	8	5	3	4	1	7	6	7	6	2	7	7	8	10	4	5	5	5	9		7.64
vardas159		pavarde159		2	5	5	7	4	4	10	4	8	1	7	5	8	5	9	9	9	4	2	9	8		7.14
vardas160		pavarde160		4	9	4	4	9	8	8	1	2	10	1	3	2	1	2	2	3	9	2	10	8		6.68
vardas161		pavarde161		8	7	1	2	2	5	5	9	4	3	10	1	7	5	3	1	10	8	8	3	8		6.84
vardas162		pavarde162		6	2	7	1	10	2	7	1	4	7	5	10	8	4	5	3	9	4	10	9	7		6.48
vardas163		pavarde163		2	2	3	8	6	9	1	7	10	7	8	5	1	2	5	2	10	8	4	3	9		7.46
vardas164		pavarde164		9	4	9	10	8	10	9	6	6	10	6	1	4	9	6	10	10	6	9	7	5		5.98
vardas165		pavarde165		2	6	7	7	4	4	3	1	5	4	7	4	5	2	7	1	5	6	9	6	7		6.1
vardas166		pavarde166		1	10	3	10	7	8	3	3	3	3	10	3	10	5	1	4	3	7	8	2	10		8.08
vardas167		pavarde167		6	5	10	7	7	7	5	6	5	2	2	6	3	7	10	6	3	8	8	1	1		2.88
vardas168		pavarde168		8	1	6	5	9	5	3	9	6	3	9	2	9	6	8	4	1	1	8	2	7		6.3
vardas169		pavarde169		2	8	2	10	5	8	1	10	5	7	2	8	9	4	3	7	3	5	3	6	10		8.16
vardas170		pavarde170		8	1	4	4	8	7	1	10	4	2	1	7	3	1	10	9	4	3	6	8	2		3.22
vardas171		pavarde171		8	2	2	4	8	3	9	6	6	9	10	10	6	10	5	6	2	1	3	1	1		2.82
vardas172		pavarde172		5	6	5	5	10	5	4	9	2	3	8	6	4	7	6	3	10	3	9	7	7		6.54
vardas173		pavarde173		10	3	9	4	9	5	3	6	5	5	2	3	7	2	3	7	4	1	10	2	2		3.2
vardas174		pavarde174		7	10	10	5	1	7	1	6	9	5	10	7	10	5	9	5	1	5	7	5	5		5.5
vardas175		pavarde175		1	2	1	4	5	9	10	10	2	6	4	4	10	5	2	6	4	6	4	4	1		2.58
vardas176		pavarde176		4	5	4	9	6	9	6	6	5	3	5	10	10	1	7	5	10	3	3	2	8		7.06
vardas177		pavarde177		8	3	3	8	8	9	2	1	2	7	9	1	9	8	1	5	6	6	10	2	7		6.36
vardas178		pavarde178		8	4	6	8	1	10	5	10	4	10	8	6	4	4	9	1	4	8	4	6	6		6
vardas179		pavarde179		10	6	9	8	9	1	8	2	2	6	5	6	2	3	7	10	1	7	9	5	2		3.52
vardas180		pavarde180		5	2	6	10	5	8	2	2	6	9	2	6	10	10	1	4	6	4	5	5	2		3.36
vardas181		pavarde181		9	3	4	2	6	8	3	8	4	8	2	1	3	5	8	2	2	7	8	10	9		7.46
vardas182		pavarde182		1	10	2	4	2	3	1	1	9	3	1	9	7	3	5	10	2	9	2	5	10		7.78
vardas183		pavarde183		5	2	1	1	9	6	6	7	5	8	9	9	1	10	6	8	5	8	10	4	4		4.8
vardas184		pavarde184		6	6	3	5	9	10	3	8	1	4	2	2	9	1	9	6	1	3	6	3	6		5.54
vardas185		pavarde185		2	8	5	1	2	5	6	10	10	6	8	4	7	4	8	6	9	6	6	3	3		4.12
vardas186		pavarde186		6	1	7	2	10	1	4	4	8	7	9	1	3	1	10	2	1	8	4	9	9		7.36
vardas187		pavarde187		3	6	6	9	1	10	3	5	1	9	1	5	7	8	4	4	7	7	1	6	6		5.66
vardas188		pavarde188		5	9	6	5	3	7	9	9	1	6	1	10	3	7	5	5	5	8	6	6	3		4.12
vardas189		pavarde189		6	1	1	7	10	3	8	10	6	6	6	2	9	1	6	9	7	6	9	6	7		6.58
vardas190		pavarde190		6	1	10	8	2	7	2	10	9	4	8	3	5	2	9	5	2	5	8	1	4		4.54
vardas191		pavarde191		10	2	9	7	8	8	10	8	4	8	10	9	4	5	2	5	1	4	3	3	2		3.6
vardas192		pavarde192		5	10	5	1	6	4	6	4	6	3	3	3	4	8	4	5	4	7	7	2	5		4.94
vardas193		pavarde193		6	6	8	6	5	5	10	7	5	6	4	3	1	1	4	8	9	9	1	2	8		6.92
vardas194		pavarde194		3	3	8	4	7	2	3	10	10	10	7	8	10	9	5	4	9	4	5	7	10		8.56
vardas195		pavarde195		4	1	3	2	4	9	5	1	10	2	9	6	6	10	4	4	3	4	10	9	6		5.72
vardas196		pavarde196		5	7	1	6	8	3	4	4	7	9	6	9	7	9	6	1	6	1	10	8	1		2.94
vardas197		pavarde197		4	2	7	6	5	1	5	9	6	9	4	6	7	6	7	10	10	2	9	6	1		3.02
vardas198		pavarde198		10	9	10	3	9	5	6	4	10	7	6	4	2	1	1	6	8	10	10	8	1		3.18
vardas199		pavarde199		7	9	10	5	5	1	8	8	8	1	8	9	4	2	6	1	2	10	6	8	1		2.96
vardas200		pavarde200		1	3	8	1	6	1	3	7	9	9	2	4	7	6	2	7	6	8	10	7	7		6.34
vardas201		pavarde201		1	3	6	8	10	8	2	7	1	5	2	1	10	6	5	1	1	2	1	8	9		7.16
vardas202		pavarde202		8	6	7	8	1	2	5	5	4	9	7	6	8	8	2	6	8	8	4	10	3		4.24
vardas203		pavarde203		1	4	7	8	6	6	5	5	1	10	2	3	3	1	9	6	4	3	1	4	6		5.38
vardas204		pavarde204		6	2	6	3	4	7	7	6	4	4	9	2	5	8	7	3	8	4	4	9	7		6.36
vardas205		pavarde205		5	2	7	5	9	2	9	9	8	1	2	6	9	10	1	1	6	2	8	8	7		6.4
vardas206		pavarde206		4	6	6	6	5	6	1	1	6	9	7	7	7	8	2	9	10	3	6	6	5		5.3
vardas207		pavarde207		9	7	6	2	1	6	4	8	1	9	8	2	6	7	7	8	2	7	4	7	7		6.42
vardas208		pavarde208		7	10	10	1	10	9	6	8	8	1	9	8	10	3	10	4	10	4	7	2	9		8.14
vardas209		pavarde209		10	4	7	10	6	6	1	8	4	7	4	2	3	7	2	1	2	8	1	6	1		2.58
vardas210		pavarde210		8	1	5	1	8	5	8	5	1	4	5	6	1	6	1	9	6	5	8	6	7		6.18
vardas211		pavarde211		4	1	3	9	8	5	4	2	2	2	5	2	5	6	5	7	9	5	8	3	9		7.3
vardas212		pavarde212		3	5	10	8	2	4	6	2	4	5	5	9	9	10	1	8	10	4	3	5	5		5.26
vardas213		pavarde213		10	10	7	5	8	3	1	6	7	7	5	6	7	1	2	6	8	5	2	2	7		6.36
vardas214		pavarde214		6	9	9	2	10	10	1	10	6	8	5	1	2	8	6	8	9	2	8	7	10		8.54
vardas215		pavarde215		10	8	4	4	3	7	4	7	3	10	3	5	7	5	10	7	4	6	3	2	9		7.64
vardas216		pavarde216		5	7	1	4	7	2	7	5	5	10	2	6	8	2	9	5	3	1	7	7	8		6.86
vardas217		pavarde217		2	7	7	8	10	5	6	8	2	1	1	9	3	9	1	2	10	5	5	5	7		6.32
vardas218		pavarde218		2	6	1	8	3	7	9	1	4	3	3	3	4	3	9	9	10	10	5	10	5		5.2
vardas219		pavarde219		3	10	5	2	2	4	7	5	7	1	9	6	3	7	8	6	5	7	8	10	7		6.5
vardas220		pavarde220		6	3	5	2	4	5	3	6	10	10	4	6	5	1	3	6	2	6	2	7	10		7.92
vardas221		pavarde221		1	3	4	10	1	5	7	1	3	5	9	8	4	2	2	7	1	6	3	3	5		4.7
vardas222		pavarde222		10	8	9	4	4	6	1	10	3	3	8	10	1	7	9	7	3	1	2	10	7		6.52
vardas223		pavarde223		4	1	7	8	4	8	10	5	6	10	8	5	8	6	4	2	10	3	4	8	10		8.42
vardas224		pavarde224		8	9	2	6	6	2	4	4	4	8	2	8	3	5	8	4	4	8	4	7	8		6.92
vardas225		pavarde225		6	7	3	9	3	1	3	10	9	2	8	8	4	2	2	6	5	5	1	10	7		6.28
vardas226		pavarde226		8	5	10	8	3	2	8	2	7	6	7	6	2	3	3	10	2	8	6	3	9		7.58
vardas227		pavarde227		7	5	6	7	7	10	4	7	9	9	7	1	7	4	5	9	9	4	1	8	4		4.92
vardas228		pavarde228		9	3	2	9	8	10	5	9	10	8	5	4	4	4	4	4	3	4	6	1	3		4.04
vardas229		pavarde229		1	5	8	2	8	9	7	5	1	3	1	9	2	3	6	10	6	7	10	9	3		4.04
vardas230		pavarde230		10	4	7	5	10	10	8	2	6	10	2	2	6	6	2	2	5	6	6	8	7		6.54
vardas231		pavarde231		10	10	9	5	1	2	1	1	2	10	1	1	9	2	2	10	4	5	9	5	10		7.98
vardas232		pavarde232		10	5	9	1	2	9	8	2	5	8	8	1	2	7	3	4	9	10	10	1	4		4.68
vardas233		pavarde233		1	4	3	2	9	6	2	1	7	6	8	9	1	2	4	1	7	1	10	3	6		5.34
vardas234		pavarde234		4	2	6	4	3	1	2	7	4	5	6	4	10	4	4	8	2	5	7	9	7		6.14
vardas235		pavarde235		10	4	1	4	1	4	5	10	8	9	9	6	8	10	6	10	8	10	4	5	4		5.04
vardas236		pavarde236		2	1	1	2	8	1	8	2	7	10	2	5	4	4	8	4	7	9	10	5	6		5.6
vardas237		pavarde237		7	7	10	7	10	1	6	6	7	5	6	2	4	7	9	8	6	10	1	2	1		3.02
vardas238		pavarde238		2	3	8	9	2	9	5	8	7	7	10	4	8	8	2	1	3	10	3	6	10		8.3
vardas239		pavarde239		9	3	5	7	3	1	8	9	10	9	5	7	4	5	8	8	6	5	10	8	1		3.2
vardas240		pavarde240		5	4	7	1	9	9	10	4	8	8	10	9	2	3	6	6	3	6	10	7	8		7.34
vardas241		pavarde241		10	8	1	6	1	10	7	4	4	10	3	7	1	7	2	1	1	9	6	2	6		5.6
vardas242		pavarde242		5	8	5	6	8	2	6	1	8	3	8	9	7	3	7	5	4	1	1	4	6		5.62
